,,Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
1929,6,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,Member,Meteorology
1929,7,Carton,Paul,1891,1969,"Climatology and Agricultural Meteorology Bureau, Indochina Central Observatory",Phu Lien,Phu Lien,France (French Indochina),Vietnam,Member,Agriculture
1929,8,Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1929,9,La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1929,10,Delcambre,Émile,1871,1951,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1929,11,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,Member,Meteorology
1929,12,Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
1929,13,Eredia,Filippo,1877,1948,Italian Central Bureau of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Member,Meteorology
1929,14,Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology
1929,15,Figuereido,Filipe Eduardo de Almeida,1858,1930,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1929,16,Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
1929,17,Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1929,18,Galbis,José,1868,1952,National Association of Agricultural Insurances,Madrid,Madrid,Spain,Spain,Member,Geography
1929,19,Geiger,Rudolf,1894,1981,Bavarian Meteorological Service,Munich,Munich,Germany,Germany,Member,Meteorology
1929,20,Girola,Carlos de Alberti,1869,1934,National University of Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Argentina,Member,Agriculture
1929,21,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1929,22,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Member,Agriculture
1929,23,Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1929,24,Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
1929,25,Hirata,Tokutarō,1880,1960,Forestry Experimental Station,Tokyo,Tokyo,Japan,Japan,Member,Agriculture
1929,26,Holdefleiss,Paul,1865,1940,"Agronomy Institute, University of Halle",Halle,Halle,Germany,Germany,Member,Agriculture
1929,27,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
1929,28,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1929,29,Kincer,Joseph Burton,1874,1954,"US Weather Bureau, Climate and Crop Weather Division",Washington,Washington,USA,USA,Member,Meteorology
1929,30,Kiroff,Kiro T. ,1897,1961,Bulgarian Meteorological Service,Sofia,Sofia,Bulgaria,Bulgaria,Member,Meteorology
1929,31,Knoch,Karl,1883,1972,Prussian Meteorological Institute,Berlin,Berlin,Germany,Germany,Member,Meteorology
1929,32,Koloskov,Pavel Ivanovic ,1887,1968,Geophysics Observatory of the Far East,Vladivostock,Vladivostock,USSR,Russia,Member,Meteorology
1929,33,Korhonen,Ville Vihtori,1885,1958,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1929,34,Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
1929,35,Melander,Gustaf,1861,1938,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1929,36,Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
1929,37,Normand,Charles William Blyth,1889,1982,Indian Meteorological Department,Poona,Pune,Great Britain (India),India,Member,Meteorology
1929,38,Nuño,Waldo,,1935,Chilean Meteorological Office,Santiago de Chile,Santiago de Chile,Chile,Chile,Member,Meteorology
1929,39,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
1929,40,Patterson,John,1872,1956,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1929,41,Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,Member,Agriculture
1929,42,Sabucedo del Arenal,Serafin,1889,1976,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Agriculture
1929,43,Sanson,Joseph,1889,1958,French Meteorological Service,Paris,Paris,France,France,Member,Agriculture
1929,44,Schmidt,Wilhelm Mathäus,1883,1936,Academy for Natural Resources,Vienna,Vienna,Austria,Austria,Secretary,Meteorology
1929,45,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,Russia,Member,Meteorology
1929,46,Schubert,Johannes,1859,1947,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Member,Meteorology
1929,47,Shaw,William Napier,1854,1945,,London,London,Great Britain,Great Britain,Member,Meteorology
1929,48,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
1929,49,Simpson,George Clarke,1878,1965,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
